web-scraper-order,web-scraper-start-url,pdf,pdf-href
"1774857677-41","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q4-2020-Update"
"1774857677-42","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm"
"1774857677-43","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q3-2020-Update"
"1774857677-44","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459020047486/tsla-10q_20200930.htm"
"1774857677-45","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2020-2Q"
"1774857677-46","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459020033670/tsla-10q_20200630.htm"
"1774857677-47","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2020-1Q"
"1774857677-48","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459020019931/tsla-10q_20200331.htm"
"1774857677-49","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2019-4Q"
"1774857677-50","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459020004475/tsla-10k_20191231.htm"
"1774857677-51","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2019-3Q"
"1774857677-52","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459019038256/tsla-10q_20190930.htm"
"1774857677-53","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2019-2Q"
"1774857677-54","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459019026445/tsla-10q_20190630.htm"
"1774857677-55","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2019-1Q"
"1774857677-56","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459019013462/tsla-10q_20190331.htm"
"1774857677-57","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2018-4Q"
"1774857677-58","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459019003165/tsla-10k_20181231.htm"
"1774857677-59","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2018-3Q"
"1774857677-60","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459018026353/tsla-10q_20180930.htm"
"1774857677-61","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Update-Letter-2018-2Q"
"1774857677-62","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459018019254/tsla-10q_20180630.htm"
"1774857677-63","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2018-1Q"
"1774857677-64","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459018011086/tsla-10q_20180331.htm"
"1774857677-65","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2017-4Q"
"1774857677-66","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459018002956/tsla-10k_20171231.htm"
"1774857677-67","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2017-3Q"
"1774857677-68","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459017021343/tsla-10q_20170930.htm"
"1774857677-69","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2017-2Q"
"1774857677-70","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459017015705/tsla-10q_20170630.htm"
"1774857677-71","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Q1_2017_Update_Letter"
"1774857677-72","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459017003118/tsla-10k_20161231.htm"
"1774857677-73","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA_Update_Letter_2016_4Q"
"1774857677-74","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459017003118/tsla-10k_20161231.htm"
"1774857677-75","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q3_16_Update_Letter_-_final"
"1774857677-76","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459016026820/tsla-10q_20160930.htm"
"1774857677-77","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q2_16_Update_Letter_-_final"
