stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
2669,0,0 days 03:07:16.571533339,TSSM,1,N,A
4954,0,0 days 03:07:16.571546739,IMCC,1,N,A
8383,0,0 days 03:07:16.571560132,IMCC,1,N,A
8532,0,0 days 03:07:16.571574170,IMPC,1,N,A
1408,0,0 days 03:07:16.571588074,KEYB,1,N,A
7856,0,0 days 03:07:16.571601790,LEER,1,N,A
6682,0,0 days 03:07:16.571616333,MAXM,1,N,A
8569,0,0 days 03:07:16.571630508,CANT,1,N,A
7981,0,0 days 03:07:16.571644630,CANT,1,N,A
2692,0,0 days 03:07:16.571658986,COWN,1,N,A
4277,0,0 days 03:07:16.571673362,CSTI,1,N,A
5054,0,0 days 03:07:16.571687476,CSTI,1,N,A
8556,0,0 days 03:07:16.571701391,BARD,1,N,A
2892,0,0 days 03:07:16.571717993,WSEA,1,N,A
6688,0,0 days 03:07:16.571731601,GSCO,1,N,A
5828,0,0 days 03:07:16.571745096,LEER,1,N,A
7767,0,0 days 03:07:16.571758461,LEHM,1,N,A
1862,0,0 days 03:07:16.571772112,MLCO,1,N,A
3621,0,0 days 03:07:16.571785776,MLCO,1,N,A
2566,0,0 days 03:07:16.571799725,VALX,1,N,A
1488,0,0 days 03:07:16.571813880,ADAM,1,N,A
2898,0,0 days 03:07:16.571831095,BKCM,1,N,A
3896,0,0 days 03:07:16.571844705,CDRG,1,N,A
3680,0,0 days 03:07:16.571858629,COWN,1,N,A
1101,0,0 days 03:07:16.571873098,COWN,1,N,A
261,0,0 days 03:07:16.571887401,GSCO,1,N,A
644,0,0 days 03:07:16.571900574,SGAS,1,N,A
7579,0,0 days 03:07:16.571915661,UBSS,1,N,A
5874,0,0 days 03:07:16.571929260,UBSS,1,N,A
7399,0,0 days 03:07:16.571944351,VERT,1,N,A
7340,0,0 days 03:07:16.571958457,WSEA,1,N,A
1580,0,0 days 03:07:16.571972831,IMCC,1,N,A
4029,0,0 days 03:07:16.571986555,GTSM,1,N,A
1240,0,0 days 03:07:16.572000219,JPMS,1,N,A
8739,0,0 days 03:07:16.572013679,MLCO,1,N,A
5583,0,0 days 03:07:16.572027720,NITE,1,N,A
8015,0,0 days 03:07:16.572041569,RBCM,1,N,A
5822,0,0 days 03:07:16.572055134,GSCO,1,N,A
6247,0,0 days 03:07:16.572069364,GSCO,1,N,A
8683,0,0 days 03:07:16.572083548,LEHM,1,N,A
5286,0,0 days 03:07:16.572097439,NITE,1,N,A
6146,0,0 days 03:07:16.572111007,NITE,1,N,A
1968,0,0 days 03:07:16.572125757,SSUS,1,N,A
8728,0,0 days 03:07:16.572140264,WABR,1,N,A
6550,0,0 days 03:07:16.572154155,VALX,1,N,A
7632,0,0 days 03:07:16.572169974,WEDB,1,N,A
1376,0,0 days 03:07:16.572183786,XGWD,1,N,A
