date,DUPONT DE NEMOURS INC_original,SPDR S&P 500 ETF TRUST_original,DUPONT DE NEMOURS INC_smoothed,SPDR S&P 500 ETF TRUST_smoothed,Estimated_DUPONT DE NEMOURS INC_original,Estimated_DUPONT DE NEMOURS INC_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-01-03,72.1563,196.684,72.33460102389593,196.3273701419608,72.46919233240462,72.33842012533408,-0.3128923324046157,-0.00381910143815406,-1.1809362518503779,-0.3666888907999775,-0.3473545343018431,
2017-01-04,72.7383,197.852,72.41534081911674,196.63229611356866,72.86402393887462,72.41697834844973,-0.12572393887463257,-0.0016375293329998208,-0.6283973585956318,-0.36651977205128494,-0.34735399898379576,
2017-01-05,72.4085,197.719,72.41397265529339,196.84963689085492,72.73613537025737,72.41784457723755,-0.32763537025737227,-0.0038719219441568087,-0.8870986498592809,-0.3661195071100059,-0.3473525439741146,
2017-01-06,71.9574,198.389,72.32265812423472,197.15750951268393,72.78200275122956,72.3323680109037,-0.8246027512295528,-0.009709886668990586,-1.7586101316600884,-0.3651142619102135,-0.34734944512421334,
2017-01-09,72.3946,197.766,72.33704649938778,197.27920761014715,72.51654259919222,72.33890127356801,-0.12194259919222616,-0.0018547741802333872,0.07823089593743343,-0.3649221502372052,-0.34734863538109806,
2017-01-10,72.248,197.766,72.31923719951023,197.37656608811773,72.46381914600846,72.32180990437662,-0.21581914600846241,-0.0025727048664010432,0.10354140535570196,-0.36465556105644337,-0.3473474581198901,
2017-01-11,72.9895,198.292,72.45328975960818,197.55965287049418,72.71756150164656,72.45027831508861,0.2719384983534467,0.0030114445195691952,1.6987225328131925,-0.3649678899380727,-0.3473486700462474,
2017-01-12,73.023,197.824,72.56723180768654,197.61252229639535,72.63997166823464,72.56268945053782,0.38302833176536394,0.004542357148726361,1.7507505134699024,-0.3654390811870224,-0.34735087149311555,
2017-01-13,72.4085,198.254,72.53548544614924,197.74081783711628,72.72628080402909,72.5389273252337,-0.3177808040290836,-0.0034418790844620295,-0.28562796223611286,-0.3650818215165624,-0.34734936108453895,
2017-01-17,71.8185,197.584,72.39208835691939,197.70945426969303,72.3526611322468,72.39838029083117,-0.5341611322467901,-0.006291933911778624,-0.9070859167608112,-0.3644288767232936,-0.34734595375155264,
2017-01-18,72.2941,197.997,72.37249068553551,197.76696341575442,72.45844661752677,72.37466660304689,-0.16434661752677027,-0.00217591751137558,0.054906205070038704,-0.3642030016861711,-0.3473448926699474,
2017-01-19,71.523,197.268,72.20259254842841,197.66717073260352,72.06378511662022,72.20890295361589,-0.5407851166202207,-0.006310405187470336,-0.8094991764612556,-0.3635482893476898,-0.34734117358014066,
2017-01-20,71.8855,197.988,72.13917403874272,197.73133658608282,72.23669197535523,72.14349760630537,-0.35119197535523516,-0.004323567562650843,-0.3306184379749819,-0.3630995459287606,-0.3473390760117784,
2017-01-23,71.5821,197.49,72.02775923099418,197.68306926886626,71.96231271156671,72.03232461641844,-0.38021271156671865,-0.004565385424262658,-0.5990790522118877,-0.3626258350842118,-0.34733654078572407,
2017-01-24,74.715,198.743,72.56520738479534,197.895055415093,72.85340340211059,72.54405353881994,1.861596597889417,0.021153845975405483,2.561988984441969,-0.36482320755026526,-0.3473446639482203,1.0
2017-01-25,75.429,200.454,73.13796590783627,198.4068443320744,73.8700248674818,73.1191674896715,1.5589751325182017,0.018798418164780284,1.6535253306163902,-0.36678079228393334,-0.34734793099822275,
2017-01-26,76.9457,200.244,73.89951272626902,198.7742754656595,74.41342848755046,73.86980808260812,2.532271512449544,0.02970464366091019,1.86442082865052,-0.36987911152090686,-0.34735568015798524,
2017-01-27,76.8059,199.95,74.48079018101522,199.00942037252761,74.80699354531231,74.45672992720768,1.9989064546876796,0.024060253807542786,1.1808519459746085,-0.37239124458383965,-0.34736419077358044,
2017-01-30,75.3482,198.694,74.65427214481218,198.9463362980221,74.54988071914944,74.64411601005388,0.7983192808505595,0.01015613475830035,0.14912522067142628,-0.3734511905068038,-0.3473698725905803,
2017-01-31,74.7012,198.675,74.66365771584975,198.89206903841767,74.58072157064385,74.66182770905047,0.12047842935615488,0.001830006799281525,-0.5136953303783931,-0.37364213246557637,-0.3473709030454582,0.0
2017-02-01,75.5413,198.753,74.8391861726798,198.86425523073413,74.78888312994184,74.83055297691364,0.7524168700581736,0.008633195766169499,-0.09790156698851818,-0.3745428120262712,-0.34737561128435923,
2017-02-02,74.9878,198.876,74.86890893814385,198.86660418458732,74.87070658493711,74.86718576063814,0.11709341506288046,0.0017231775057078846,-0.7378811287272224,-0.3747225913170105,-0.3473765141753253,
2017-02-03,75.429,200.254,74.98092715051507,199.14408334766986,75.39644216802702,74.98047940301298,0.0325578319729799,0.0004477475020933097,-0.9252633946410673,-0.3747693704214529,-0.34737666364939923,
2017-02-06,75.1906,199.921,75.02286172041205,199.2994666781359,75.25647209312483,75.02358760823067,-0.065872093124825,-0.00072588781861882,-1.1097610696764488,-0.3746934825564859,-0.34737636694961893,
2017-02-07,74.9002,199.931,74.99832937632964,199.42577334250873,75.19077929424917,75.0016496294108,-0.2905792942491727,-0.003320253081173341,-1.0889176403195135,-0.3743461712362983,-0.34737493280481413,
2017-02-08,74.8292,200.169,74.9645035010637,199.57441867400698,75.1910576842478,74.96874225486509,-0.3618576842477989,-0.004238753801392325,-0.954792649489988,-0.37390247500860274,-0.34737316425078685,
2017-02-09,75.4882,201.363,75.06924280085096,199.93213493920558,75.6055334746199,75.07075661534289,-0.11733347461989674,-0.0015138144919283336,-0.6105492987135394,-0.37374374001424204,-0.34737275413208046,
2017-02-10,76.6551,202.159,75.38641424068076,200.37750795136446,76.04673705416648,75.3796492018101,0.6083629458335204,0.006765038870668927,0.9627209727648838,-0.37445457748033384,-0.34737412531967415,
2017-02-13,77.1171,203.261,75.73255139254461,200.95420636109156,76.5916651690978,75.72637451299241,0.5254348309022001,0.006176879552200865,1.0523885797809567,-0.37510535901895226,-0.34737478954653417,
2017-02-14,77.3229,204.092,76.05062111403569,201.58176508887325,76.98929618871827,76.04663686803018,0.3336038112817283,0.003984246005510339,0.493865952573435,-0.3755263368020682,-0.34737505811056285,
2017-02-15,76.5429,205.117,76.14907689122856,202.2888120710986,77.2162236921236,76.1563429898008,-0.6733236921236043,-0.007266098572246582,-1.6379487213531898,-0.37475610849329494,-0.347374986304432,
2017-02-16,76.931,204.946,76.30546151298284,202.82024965687887,77.10381737581635,76.30768066488295,-0.1728173758163552,-0.0022191519001114046,-0.4423908378342989,-0.37452032573330085,-0.34737469807928273,
2017-02-17,76.7418,205.271,76.39272921038628,203.3103997255031,77.13045569906008,76.39707918175563,-0.38865569906008113,-0.004349971369350891,-0.7732648614352328,-0.37405713283022435,-0.3473739858671083,
2017-02-21,76.6946,206.524,76.45310336830902,203.95311978040246,77.42063098620788,76.46119715241275,-0.7260309862078895,-0.008093784103736512,-1.2600398875196073,-0.37319274016793036,-0.3473735157662372,
2017-02-22,79.7644,206.333,77.11536269464722,204.42909582432196,77.80930024804749,77.09453295913723,1.9550997519524982,0.02082973550998718,2.270567069780654,-0.37542188206804944,-0.34737705530065893,1.0
2017-02-23,79.3862,206.476,77.56953015571777,204.83847665945757,78.17275538501849,77.5555365875056,1.2134446149815143,0.013993568212174123,1.1886127842729552,-0.376922137371454,-0.3473801491101487,
2017-02-24,79.6107,206.705,77.97776412457422,205.21178132756606,78.53033070232097,77.96554399129128,1.0803692976790225,0.012220133282932866,0.8276589162590746,-0.37823442839023425,-0.3473831819175976,
2017-02-27,78.814,207.021,78.14501129965937,205.57362506205286,78.69090187278346,78.14316785150942,0.12309812721653635,0.0018434481499551847,-0.19330814572225793,-0.3784327107742402,-0.34738365558948225,0.0
2017-02-28,77.9956,206.504,78.11512903972749,205.75970004964228,78.40070891925497,78.11938222667816,-0.4051089192549746,-0.004253186950666787,-0.6971387626193278,-0.3779748909584168,-0.34738203677807533,
2017-03-01,79.4995,209.386,78.392003231782,206.48496003971383,79.48856795953884,78.39206798882775,0.010932040461151926,-6.475704575348296e-05,-0.23399344487214535,-0.37796789624467236,-0.3473820364518805,
2017-03-02,79.3597,208.093,78.5855425854256,206.80656803177106,79.06912298472528,78.58246479311492,0.29057701527472746,0.0030777923106833915,-0.02353645097083338,-0.3783007602651146,-0.34738287887677954,
