date,SPDR S&P 500 ETF TRUST_original,CITIGROUP INC_original,SPDR S&P 500 ETF TRUST_smoothed,CITIGROUP INC_smoothed,Estimated_SPDR S&P 500 ETF TRUST_original,Estimated_SPDR S&P 500 ETF TRUST_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-01-03,196.684,50.9414,196.3273701419608,50.53028474404763,197.96071383901386,196.3952265407927,-1.2767138390138557,-0.06785639883186878,0.7971343292521909,-3.8079036852928407,-3.9807690450371256,
2017-01-04,197.852,51.6315,196.63229611356866,50.7505277952381,200.18361630964594,196.83586764725092,-2.3316163096459492,-0.20357153368227632,0.0664400968531359,-3.8000616186293636,-3.98073484738394,
2017-01-05,197.719,50.7338,196.84963689085492,50.74718223619048,196.78980471139252,196.8406626491903,0.9291952886074877,0.008974241664631233,1.0595397061612524,-3.8004065295141425,-3.9807399243278927,
2017-01-06,198.389,50.9071,197.15750951268393,50.77916578895238,197.57790222233524,197.0913749001611,0.8110977776647812,0.0661346125228417,1.2411286440540263,-3.80294932989468,-3.9807803904537766,
2017-01-09,197.766,50.6291,197.27920761014715,50.749152631161905,196.71982218710207,197.17684827426095,1.0461778128979233,0.10235933588620583,1.4574971478036922,-3.806881054880977,-3.9808605714275984,
2017-01-10,197.766,50.6379,197.37656608811773,50.72690210492952,196.94096378244365,197.2801138714887,0.8250362175563333,0.09645221662900605,1.3923732367321977,-3.8105850340690757,-3.9809398857571927,
2017-01-11,198.292,50.4127,197.55965287049418,50.664061683943615,196.4238556012841,197.38339027714227,1.8681443987159194,0.1762625933519142,1.729501122485536,-3.8173466250068064,-3.9811053988034577,
2017-01-12,197.824,49.799,197.61252229639535,50.49104934715489,194.6593307285246,197.30915254413793,3.1646692714754288,0.303369752257435,2.130886168090356,-3.8289492310152555,-3.981487973195886,1.0
2017-01-13,198.254,50.1367,197.74081783711628,50.42017947772391,196.41284757640116,197.5008782133996,1.8411524235988321,0.23993962371668376,1.53877293778959,-3.838128409627166,-3.9817549414468334,
2017-01-17,197.584,49.0854,197.70945426969303,50.15322358217913,193.1701843940012,197.28585129856492,4.413815605998789,0.4236029711281022,2.134438057804031,-3.8542573635288715,-3.9824200022411587,
2017-01-18,197.997,48.2543,197.76696341575442,49.7734388657433,191.1993890914804,197.09329901698445,6.797610908519599,0.6736643987699695,2.5712431986304947,-3.8797703478017525,-3.983786797550297,
2017-01-19,197.268,47.6375,197.66717073260352,49.34625109259464,190.2077146430072,196.88747826778177,7.060285356992795,0.7796924648217369,2.362839270179628,-3.9091495851696823,-3.9856012794864584,
2017-01-20,197.988,47.1774,197.73133658608282,48.91248087407571,189.9952797715962,196.83622484589372,7.992720228403824,0.8951117401891069,2.242874472414605,-3.9427240404236223,-3.9878106269147664,
2017-01-23,197.49,46.8124,197.68306926886626,48.492464699260566,190.1137624785715,196.79361444766045,7.376237521428512,0.8894548212058071,1.9113551225120973,-3.9759492429243264,-3.990036139100776,
2017-01-24,198.743,47.707,197.895055415093,48.33537175940845,194.76805647520948,197.28087049836535,3.974943524790532,0.6141849167276656,1.0456631580372735,-3.998928954925405,-3.991152822583175,
2017-01-25,200.454,48.5059,198.4068443320744,48.36947740752676,198.60283983257435,198.05549651215958,1.8511601674256641,0.3513478199148241,0.25013689706528747,-4.012116398698134,-3.9915230089625564,
2017-01-26,200.244,48.2278,198.7742754656595,48.34114192602141,198.0224792537781,198.478477875729,2.2215207462219095,0.2957975899305265,0.015506648567342463,-4.023212221263697,-3.9918048891167532,
2017-01-27,199.95,48.0163,199.00942037252761,48.276173540817126,197.67917269546834,198.7274447898987,2.2708273045316543,0.28197558262892075,-0.08257788982036589,-4.0337777025481385,-3.9920923966061497,0.0
2017-01-30,198.694,47.5964,198.9463362980221,48.1402188326537,196.47317378144052,198.67238741552555,2.2208262185594774,0.2739488824965517,-0.1321415410213074,-4.044018893853684,-3.992432902023029,
2017-01-31,198.675,46.9396,198.89206903841767,47.90009506612296,194.56502814679453,198.4645793325345,4.109971853205466,0.42748970588316215,0.31099438637865134,-4.0599387995614835,-3.993124870898341,
2017-02-01,198.753,47.1255,198.86425523073413,47.745176052898366,195.96963029572154,198.49401506364256,2.7833697042784284,0.3702401670915525,0.057486190664184714,-4.073716833358149,-3.9936876653021183,
2017-02-02,198.876,47.198,198.86660418458732,47.63574084231869,196.78347429701876,198.57151167080406,2.0925257029812605,0.29509251378327184,-0.3147335698353048,-4.084693957991554,-3.9940888677333697,
2017-02-03,200.254,48.7006,199.14408334766986,47.848712673854955,202.72690446391726,199.25060229608277,-2.472904463917272,-0.10651894841290988,-1.7493579685095773,-4.080706522029648,-3.9940484171601702,
2017-02-06,199.921,48.6027,199.2994666781359,47.99951013908397,201.95869111810248,199.50182575682703,-2.037691118102501,-0.20235907869114556,-1.9007889149840387,-4.073121119019369,-3.9940073067398174,
2017-02-07,199.931,48.2229,199.42577334250873,48.044188111267175,200.24523347569345,199.51793514613075,-0.3142334756934453,-0.09216180362202309,-1.4370474029625433,-4.06966953748664,-3.9939663364289437,
2017-02-08,200.169,47.4858,199.57441867400698,47.93251048901374,197.57027273484223,199.3912905175319,2.598727265157781,0.18312815647508218,-0.5608576236758998,-4.076505538766637,-3.9941460220774974,
2017-02-09,201.363,48.2807,199.93213493920558,48.00214839121099,200.97674575355433,199.84027085958985,0.3862542464456826,0.09186407961574083,-0.8384136882665966,-4.079943745093423,-3.994205779822286,
2017-02-10,202.159,48.5939,200.37750795136446,48.12049871296879,202.28991877349017,200.3581239973664,-0.13091877349017222,0.01938395399808046,-0.9998620650530866,-4.080670731248856,-3.9942133262564066,
2017-02-13,203.261,49.707,200.95420636109156,48.437798970375034,206.36873867326295,201.2013806177561,-3.1077386732629684,-0.24717425666453252,-1.6346866375507991,-4.071347197877526,-3.99428350836477,
2017-02-14,204.092,50.45,201.58176508887325,48.84023917630003,208.54994048238942,202.02298039482446,-4.457940482389402,-0.4412153059512014,-1.870092668436023,-4.05461481697823,-3.9946229658377184,
2017-02-15,205.117,51.0099,202.2888120710986,49.274171341040024,209.81140585915531,202.8080366295601,-4.694405859155317,-0.5192245584614952,-1.796596851225776,-4.034829518682675,-3.995155594103913,
2017-02-16,204.946,50.9091,202.82024965687887,49.60115707283202,208.52684521045379,203.2720812304443,-3.580845210453784,-0.45183157356541015,-1.4702753526662007,-4.017578956130268,-3.9955163749223703,
2017-02-17,205.271,50.7348,203.3103997255031,49.827885658265615,207.24411465568448,203.61092890432377,-1.9731146556844985,-0.30052917882068275,-1.0244986861617993,-4.006095817618886,-3.995644567953833,
2017-02-21,206.524,51.0549,203.95311978040246,50.073288526612494,208.09697122646628,204.17280080264482,-1.5729712264662887,-0.2196810222423644,-0.7543430861859126,-3.9976819038995766,-3.995721391063777,
2017-02-22,206.333,51.1146,204.42909582432196,50.28155082129,207.94984673141434,204.62586921180923,-1.6168467314143338,-0.1967733874872617,-0.6122008927407686,-3.9901336014187936,-3.995763748333267,
2017-02-23,206.476,51.1146,204.83847665945757,50.448160657032,207.64767102489964,204.99242891742503,-1.1716710248996471,-0.15395225796747036,-0.40386974283004823,-3.9842217232395267,-3.995771330200521,
2017-02-24,206.705,50.2199,205.21178132756606,50.4025085256256,204.34634414860676,205.07485430798917,2.358655851393258,0.1369270195768939,0.6229156517978367,-3.989464111199641,-3.9958554305719014,
2017-02-27,207.021,50.6066,205.57362506205286,50.44332682050048,206.1112132935811,205.45912431673614,0.9097867064188923,0.11450074531672572,0.5896894499381289,-3.9938523819026863,-3.995923343584614,
2017-02-28,206.504,50.4314,205.75970004964228,50.44094145640038,205.61582568373655,205.65397149749268,0.888174316263441,0.10572855214959587,0.6053186688327049,-3.997902642471982,-3.9959983601750406,
