date,WALGREENS BOOTS ALLIANCE INC_original,SPDR GOLD SHARES_original,WALGREENS BOOTS ALLIANCE INC_smoothed,SPDR GOLD SHARES_smoothed,Estimated_WALGREENS BOOTS ALLIANCE INC_original,Estimated_WALGREENS BOOTS ALLIANCE INC_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-04-03,68.1998,119.35,68.64412311254222,118.7088177080198,69.03624876803633,68.66877470305907,-0.8364487680363271,-0.024651590516846733,-0.34942170242839954,-0.5731194850100524,-0.6344382320865736,
2017-04-04,67.832,119.62,68.48169849003378,118.89105416641584,68.93039734380677,68.51421224183919,-1.0983973438067736,-0.03251375180540361,-1.6631529033757564,-0.5709410532209898,-0.6344285575119742,
2017-04-05,66.74,119.62,68.13335879202702,119.03684333313268,68.51594896110298,68.18502126148718,-1.7759489611029895,-0.05166246946016062,-1.7784313518176627,-0.5674764920265973,-0.6344109848814046,
2017-04-06,67.1426,119.18,67.93520703362162,119.06547466650615,68.02958183685998,67.96481882197234,-0.8869818368599734,-0.029611788350720425,-0.1199463250161254,-0.565490733900326,-0.634396170619112,
2017-04-07,67.6919,119.46,67.8865456268973,119.14437973320491,68.07839874779053,67.90020775472523,-0.38649874779053084,-0.013662127827932746,1.0769505746300434,-0.5645739891000195,-0.63439000990221,
2017-04-10,67.8397,119.46,67.87717650151784,119.20750378656393,68.02613578320344,67.88369344776251,-0.18643578320344567,-0.00651694624466892,1.2615750328088218,-0.5641365211086811,-0.6343869715603986,
2017-04-11,67.9796,121.19,67.89766120121428,119.60400302925115,68.81306589331518,67.92082083183892,-0.8334658933151726,-0.023159630624641325,0.1912341518964333,-0.5625767753232015,-0.6343864918963871,
2017-04-12,67.8899,122.02,67.89610896097142,120.08720242340091,69.01174090730112,67.92864325294829,-1.1218409073011233,-0.032534291976876184,-0.40053701697189154,-0.5603782141835199,-0.6343912126280348,
2017-04-13,67.8156,122.6,67.88000716877714,120.58976193872073,69.03758493926253,67.91599693038394,-1.2219849392625248,-0.03598976160679812,-1.0800034827296323,-0.5579379032177049,-0.6343980047719084,
2017-04-17,68.3504,122.24,67.97408573502172,120.91980955097658,68.72312338194006,67.98776600612813,-0.37272338194006815,-0.01368027110641501,0.6213392644991671,-0.5570085561184658,-0.6343974820188039,
2017-04-18,68.0955,122.82,67.99836858801737,121.29984764078127,68.86456947809425,68.0200795188462,-0.7690694780942458,-0.021710930828825026,0.04992001675584833,-0.5555298152364575,-0.6343975707525338,
2017-04-19,68.6602,121.73,68.1307348704139,121.38587811262501,68.31528134944573,68.12395240369052,0.3449186505542703,0.006782466723372682,1.7444079682438707,-0.5559917946942905,-0.6344001813097502,
2017-04-20,69.1807,121.96,68.34072789633112,121.50070249010001,68.58013453681498,68.3242530702531,0.6005654631850176,0.0164748260780071,1.4117851185170982,-0.5571148570293499,-0.6344065735154659,
2017-04-21,69.089,122.31,68.4903823170649,121.66256199208001,68.84327622631615,68.48221815278066,0.24572377368385268,0.008164164284241826,0.7282604039696197,-0.5576720382781511,-0.6344092245154764,
2017-04-24,69.2975,121.48,68.65180585365192,121.626049593664,68.54972177933085,68.63137309689519,0.7477782206691469,0.02043275675673295,1.0515286641018398,-0.5590656948500025,-0.6344211689525568,
2017-04-25,70.6443,120.25,69.05030468292154,121.35083967493121,68.36836719220221,68.98844329562652,2.275932807797788,0.06186138729501178,1.712934380951057,-0.5632755773115234,-0.6344790204915245,
2017-04-26,70.6443,120.84,69.36910374633723,121.24867173994497,69.09021255402155,69.32172454839169,1.554087445978447,0.04737919794553924,0.9094545417702476,-0.56649866320906,-0.634514091838745,
2017-04-27,70.6202,120.39,69.61932299706979,121.07693739195598,69.18537974688019,69.57652626170373,1.4348202531198093,0.042796735366052885,0.4759166379595596,-0.5694063526077695,-0.6345489564308201,
2017-04-28,71.1511,120.77,69.92567839765583,121.01554991356478,69.74350997238122,69.88402245496567,1.4075900276187823,0.041655942690157044,0.2371727364876463,-0.572235927696154,-0.6345769845167113,
2017-05-01,71.0884,119.67,70.15822271812466,120.74643993085182,69.49222610815096,70.11160503123868,1.5961738918490331,0.04661768688597967,0.2358390279233892,-0.575395714461823,-0.6346209585045991,
2017-05-02,70.5526,119.65,70.23709817449974,120.52715194468146,69.70327954299769,70.20962042352873,0.8493204570023126,0.027477750971007908,-1.5469042362957615,-0.5772556095910177,-0.6346458554324043,
2017-05-03,70.538,117.98,70.29727853959979,120.01772155574517,69.07324488853178,70.25529859878479,1.4647551114682262,0.04197994081500167,0.09196832323827607,-0.580085982267952,-0.6347007005587908,
2017-05-04,70.7514,116.79,70.38810283167983,119.37217724459613,68.82418153373543,70.33182003866303,1.9272184662645757,0.056282793016804056,1.4484581553459481,-0.5838632913688336,-0.6347877347693484,
2017-05-05,70.6202,117.01,70.43452226534386,118.8997417956769,69.28357120667243,70.39226592099551,1.3366287933275673,0.04225634434835002,-0.0489160603119697,-0.5866911113779735,-0.6348442643357498,
2017-05-08,70.5777,116.75,70.46315781227509,118.46979343654152,69.41372762433693,70.42687874692828,1.1639723756630642,0.036279065346803696,-0.5717750820997113,-0.5891120997814622,-0.6348899748512198,
2017-05-09,70.6848,116.05,70.50748624982006,117.98583474923322,69.32040970340682,70.46615472004258,1.3643902965931785,0.041331529777487,0.042252402072020294,-0.5918609618355,-0.634945082397046,
2017-05-10,70.3962,116.04,70.48522899985605,117.59666779938658,69.53264023572314,70.45689713064847,0.8635597642768641,0.02833186920758346,-1.3923482542913486,-0.5937406139508701,-0.6349793928641606,
2017-05-11,70.2995,116.5,70.44808319988483,117.37733423950927,69.91254056677862,70.43425356981018,0.3869594332213738,0.013829630074649102,-1.5726884704348987,-0.5946570640208649,-0.634992608347862,
2017-05-12,70.093,116.83,70.37706655990787,117.26786739160741,70.11575749201972,70.37616458765392,-0.022757492019716552,0.0009019722539610475,-1.579995890527204,-0.5947168038210008,-0.6349933016121933,
2017-05-15,69.8546,117.14,70.2725732479263,117.24229391328593,70.22188826563819,70.28265586376386,-0.3672882656381754,-0.010082615837556319,-1.3972066675999988,-0.5940490120445259,-0.6349869947424148,
2017-05-16,69.7927,117.65,70.17659859834104,117.32383513062875,70.38757845389748,70.1942010847622,-0.594878453897479,-0.017602486421153918,-1.1913228431303688,-0.5928822730297164,-0.6349790319513315,
2017-05-17,67.4959,119.79,69.64045887867283,117.81706810450301,70.89331329677987,69.7361643191027,-3.3974132967798587,-0.09570544042986662,-1.889450198419296,-0.5865123780087061,-0.6349955351169562,
2017-05-18,67.2653,118.81,69.16542710293827,118.0156544836024,69.70476986714266,69.24297980538782,-2.4394698671426585,-0.07755270244954782,-1.0402444157908248,-0.5813465956843205,-0.6349808338885442,
2017-05-19,66.572,119.4,68.64674168235061,118.29252358688193,69.3693996139678,68.73186394875235,-2.7973996139677917,-0.08512226640173381,-0.8726977398662412,-0.5756652310277902,-0.634971029249635,
2017-05-22,67.1745,119.9,68.35229334588048,118.61401886950554,69.15034893889367,68.4154908365997,-1.9758489388936726,-0.06319749071921466,-0.13837375448826048,-0.5714377022090577,-0.634968444027645,
2017-05-23,67.0914,119.14,68.10011467670438,118.71921509560444,68.38136570060065,68.14209536752207,-1.289965700600661,-0.04198069081769562,0.7371267542088852,-0.5686286047316219,-0.6349537328752182,
2017-05-24,66.5469,119.61,67.7894717413635,118.89737207648355,68.24289883061697,67.84009539000193,-1.695998830616966,-0.050623648638429275,0.8881358310939897,-0.5652366786687234,-0.634939695050954,
2017-05-25,66.687,119.48,67.5689773930908,119.01389766118685,67.86878885157938,67.60650344290417,-1.1817888515793873,-0.037526049813368934,1.1293213991218618,-0.5627206448761076,-0.6349262017820398,
2017-05-26,67.1011,120.54,67.47540191447264,119.31911812894948,68.19324049282095,67.50898029015933,-1.0921404928209508,-0.03357837568669286,0.9518893615296578,-0.5604638899853859,-0.6349231939825356,
2017-05-30,66.2003,120.14,67.22038153157811,119.48329450315958,67.62869648030818,67.26249715804644,-1.4283964803081786,-0.04211562646832889,0.25569500106818505,-0.5576309685599077,-0.6349119175208655,
2017-05-31,66.9099,120.62,67.15828522526249,119.71063560252767,67.68929277685022,67.18376408232025,-0.7793927768502296,-0.02547885705776265,1.5260070342304344,-0.5559143242633425,-0.6349069842058408,
2017-06-01,67.8705,120.72,67.30072818020999,119.91250848202213,67.74913122326338,67.30020671435928,0.12136877673663249,0.0005214658507115555,1.7991074265503941,-0.5559495040001247,-0.634907100368322,
2017-06-02,68.6284,121.61,67.56626254416798,120.25200678561771,68.3135506018047,67.55779746976732,0.31484939819528834,0.008465074400656802,1.4256852590876006,-0.5565220238461576,-0.6349072818734852,
2017-06-05,68.8591,121.73,67.82483003533439,120.54760542849417,68.4725722700857,67.81364771595071,0.38652772991428574,0.011182319383672423,1.071398328438925,-0.5572797524736902,-0.6349080014634072,
2017-06-06,67.2653,123.1,67.71292402826751,121.05808434279533,68.88676480781064,67.75464040689587,-1.6214648078106393,-0.0417163786283653,-1.0900546973536294,-0.5544422938921038,-0.634918429692661,
2017-06-07,67.2748,122.45,67.625299222614,121.33646747423626,68.27098584794119,67.6559187751795,-0.996185847941188,-0.030619552565493535,-0.7875996206817454,-0.5523566294930107,-0.6349165665220333,
2017-06-08,67.2827,121.65,67.5567793780912,121.399173979389,67.70950966325798,67.5712108159951,-0.42680966325797465,-0.014431437903899336,-0.15388149134854734,-0.5513736052024204,-0.6349105903835314,
2017-06-09,66.8858,120.54,67.42258350247296,121.2273391835112,67.04970319072,67.42841144130377,-0.16390319071999349,-0.005827938830806456,0.2997467178368535,-0.5509772462689797,-0.634905925457177,
2017-06-12,67.5645,120.36,67.45096680197837,121.05387134680896,67.05524897748214,67.4381599559887,0.5092510225178576,0.012806845989671412,1.1008187344154228,-0.551847226820251,-0.6349167573967246,
2017-06-13,67.5548,120.48,67.4717334415827,120.93909707744717,67.20753264773633,67.46121201113651,0.34726735226367333,0.010521430446191804,1.0081958759730454,-0.5525614861474962,-0.634924796685977,
2017-06-14,68.4479,119.82,67.66696675326617,120.71527766195774,67.13421634967455,67.63108916485677,1.3136836503254656,0.03587758840938449,1.4759854076531618,-0.5549929773693842,-0.6349578012749291,
2017-06-15,68.1825,119.32,67.77007340261294,120.43622212956619,67.11602694405501,67.73794786194964,1.0664730559449918,0.03212554066329676,1.0154514215816255,-0.5571659093843075,-0.634990636319434,
2017-06-16,64.7802,119.34,67.17209872209035,120.21697770365296,66.73500221908277,67.22074276442872,-1.954802219082775,-0.048644042338362614,-1.7742242103234014,-0.5538801537629175,-0.6349446690161883,
