tag,count
RepaymentsOfLinesOfCredit,19
CommonStockCapitalSharesReservedForFutureIssuance,19
BusinessExitCosts1,19
AutomotiveRevenues,19
AutomotiveSalesRevenue,19
AutomotiveSales,19
LeaseArrangementAmountObligatedToSpendOrIncur,19
AutomotiveRegulatoryCredits,19
IncomeTaxReconciliationMinorityInterestIncomeExpense,18
IncreaseDecreaseInOtherOperatingAssetsAndNotesReceivables,18
DerivativeLiabilitiesNoncurrent,18
StockIssuedDuringPeriodSharesAcquisitions,18
DebtInstrumentCollateralAmount,18
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,18
UnrecognizedTaxBenefitsThatWouldNotImpactEffectiveTaxRate,18
FinanceLeaseRightOfUseAssetsGross,18
DebtConversionConvertedForCash,18
WarrantyCostsIncurredForResaleValueGuarantee,18
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,18
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,18
DeferredTaxAndOtherLiabilitiesNoncurrent,18
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,18
IncomeTaxReconciliationNondeductibleExpenseOther,18
FinanceLeasedAssetsAccumulatedDepreciationAndAmortization,18
LeasedAssetsBeforeOverhead,17
OperationalMilestoneBasedOnRevenue,17
FutureMilestonePayments,17
ContractWithCustomerLiabilityIncreaseDecrease,17
ContractWithCustomerLiabilityAdditions,17
AnnualTaxRevenuesToBeGeneratedEndOfFiveYear,17
IncreaseDecreaseToNetIncomeLossAttributableToCommonStockholders,17
ProceedsFromIssuancePublicOffering,17
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,17
GainOnDigitalAssets,17
AssetsToBeLeased,17
PaymentsForHedgeFinancingActivities,17
MarketableSecuritiesCurrent,17
AccrualForEnvironmentalLossContingencies,17
CashCompensationReceivedForServices,16
RecognizedCatchUpExpenseDuringPeriod,16
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,16
FinanceLeaseWeightedAverageDiscountRatePercent,16
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,16
OperatingLeaseWeightedAverageDiscountRatePercent,16
LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage,16
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,16
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,16
ResaleValueGuaranteesCurrentPortionSalesToLeasingPartners,16
NewAccountingPronouncementOrChangeInAccountingPrincipleCumulativeEffectOfChangeOnEquityOrNetAssets1,16
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,16
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,16
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,16
SiteContingencyCostToBePaidByCompany,16
LesseeOperatingLeaseCapitalExpenditures,16
GoodwillImpairedAccumulatedImpairmentLoss,16
EntityPublicFloat,15
LessorOperatingLeasePaymentsToBeReceivedThreeYears,15
AvailableforsaleSecuritiesGrossUnrealizedGain,15
InvestmentTaxCredit,15
LessorOperatingLeasePaymentsToBeReceivedThereafter,15
ConvertibleSeniorNotesIssueToRelatedPartiesNonCurrent,15
DueToRelatedPartiesNoncurrent,15
AvailableForSaleSecuritiesFairValueDisclosure,15
LessorOperatingLeasePaymentsToBeReceivedFourYears,15
ForeignCurrencyTransactionGainLossRealizedAndUnrealized,15
LessorOperatingLeasePaymentsToBeReceivedFiveYears,15
LessorOperatingLeasePaymentsToBeReceived,15
LessorOperatingLeasePaymentsToBeReceivedTwoYears,15
DebtInstrumentUnamortizedDiscountPremiumNet,15
DueToOtherRelatedPartiesClassifiedCurrent,15
CryptoAssetCost,15
CryptoAssetFairValue,15
RepaymentsOfDebt,15
PaymentsForSolarEnergySystemsLeasedAndToBeLeased,15
GainsLossesOnExtinguishmentOfDebt,15
LossContingencyNumberOfPurportedStockholderClassActionsFiled,15
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,15
OperatingLeaseExpense,14
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,14
StockIssuedDuringPeriodValueRestrictedStock,14
UnrealizedGainLossOnSecurities,14
ShareBasedCompensationArrangementByShareBasedPaymentAwardDiscountFromMarketPriceOfferingDate,14
ProceedsFromIssuanceOfSecuredDebt,14
NetLossRealizedAndIncludedInNetIncome,14
OperationalMilestoneBasedOnAdjustedEBITDA,14
GuaranteeObligationsMaximumExposure,14
IncreaseDecreaseInPropertySubjectToOrAvailableForOperatingLeaseGrossFromReclassificationToInventoryUnderTradeInProgramAndExercisesOfResaleValueGuarantee,14
IncreaseDecreaseInReleaseOfDeferredRevenueUnderTradeInProgressExpirationAndExercisesOfResaleValueGuarantee,14
IncreaseDecreaseInReleaseOfResaleValueGuaranteeUnderTradeInProgressAndExercises,14
PercentageOfPayrollDeductionsOfEmployeesEligibleCompensation,14
CumulativeImpairmentOfIntangibleAssetsExcludingGoodwill,14
IncreaseDecreaseInReleaseOfDeferredRevenueUnderTradeInProgress,13
ProceedsFromSaleAndMaturityOfMarketableSecurities,13
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,13
AdjustmentsToAdditionalPaidInCapitalOther,13
GainLossOnDispositionOfIntangibleAssets,13
DeferredTaxLiabilitiesOperatingLeaseRightOfUseAssets,13
IncreaseDecreaseInPropertySubjectToOrAvailableForOperatingLeaseGrossFromReclassificationToInventoryUnderTradeInProgram,13
DeferredTaxAssetsOperatingLeaseRightOfUseLiabilities,13
EscrowDeposit,13
IncreaseDecreaseInReleaseOfResaleValueGuaranteeUnderTradeInProgress,13
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,13
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,13
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,13
LiabilityForReceiptsFromInvestor,13
FinancingObligationCurrent,13
LitigationSettlementAmountAwardedFromOtherParty,13
DebtInstrumentPercentageOfInterestRateOnVariableRate,13
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesAndSecuritiesArisingDuringPeriodNetOfTax,13
EqualQuarterlyAdvancesRepayableNumber,12
ShareBasedCompensationArrangementPaymentOfExercisePricePerShare,12
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesAvailableForGrantCancelled,12
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesAvailableForGrantGranted,12
GainsLossOnAcquisition,12
LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,12
AvailableForSaleSecuritiesGrossUnrealizedLosses1,12
AdjustmentsToAdditionalPaidInCapitalShareholderSettlement,12
DeferredTaxLiabilitiesUndistributedForeignEarnings,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,12
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,12
TrdArrSecuritiesAggAvailAmt,12
MarketingAndAdvertisingExpense,12
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,12
NotesAndLoansReceivableNetNoncurrent,12
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,12
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceived,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,12
ProductWarrantyPeriod,12
DistributionPayableToNonControllingInterestHolders,12
LineOfCreditFacilityRemainingBorrowingCapacity,12
NumberOfReportingSegments,12
GoodwillPeriodIncreaseDecrease,12
Effectiveincometaxratereconciliationunrecognizedtaxbenefits,12
CapitalExpendituresIncurredButNotYetPaid,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,12
NumberOfTermLoanFacilitiesAvailable,12
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsMarketCapitalizationMilestoneAchievement,12
GrantFundingEqualPercentageOnPropertyTaxesPaid,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssetsCurrentAndNoncurrent,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,12
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,12
DeferredTaxAssetsDeferredGlobalIntangibleLowTaxedIncomeTaxAssets,11
OperatingLeasesFutureMinimumPaymentsDueThereafter,11
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions,11
OperatingLeasesFutureMinimumPaymentsDueInFourYears,11
StockIssuedDuringPeriodSharesWithheldForEmployeeTaxes,11
OperatingLeasesFutureMinimumPaymentsDue,11
ExtinguishmentOfDebtAmount,11
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,11
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesAvailableForGrantAdditionalOptionsReserved,11
OperatingLeasesFutureMinimumPaymentsDueCurrent,11
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,11
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,11
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,11
DeferredTaxAssetsLiabilitiesNet,11
CapitalLeasesFutureMinimumPaymentsDueCurrent,11
IntangibleAssetsOther,11
CapitalLeasesFutureMinimumPaymentsDueInFourYears,11
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,11
NumberOfTeslaStockholders,11
AdjustmentForNetLossRealizedAndIncludedInNetIncome,11
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,11
EnvironmentalRemediationExpense,11
DeferredTaxLiabilities,11
SiteContingencyCostToBePaidBySellerOnBehalfOfCompany,11
PaymentsOfStockIssuanceCosts,11
DeferredTaxLiabilitiesInvestments,11
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,11
CorporateIncomeTaxRate,11
CapitalLeasesFutureMinimumPaymentsDue,11
SiteContingencyCostToBePaidBySeller,11
LesseeOperatingLeaseLiabilityPaymentsDue,10
IncreaseDecreaseInReleaseOfResaleValueGuaranteeFromExpiration,10
StockIssuedDuringPeriodConcurrentPrivatePlacementsSharesNewIssues,10
DeferredTaxAssetLiabilitiesNet,10
WarrantyAndOtherLiabilitiesCurrent,10
AvailableForSaleSecurities,10
FairValueOfWarrantAtIssuance,10
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,10
FinanceLeaseLiabilityPaymentsDue,10
DerivativeNetHedgeIneffectivenessGainLoss,10
FinanceLeaseLiabilityPaymentsDueAfterYearFive,10
IncreaseDecreaseInPropertySubjectToOrAvailableForOperatingLeaseGrossFromDepreciationExpenseOfExpiration,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedAndExpectedToVest,10
FinanceLeaseLiabilityPaymentsDueYearFive,10
ExpenseRecognizedForChangeInFairValue,10
FinanceLeaseLiabilityUndiscountedExcessAmount,10
FinanceLeaseLiabilityPaymentsDueYearFour,10
LeaseArrangementAmountRequiredToSpendOrIncur,10
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,10
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,10
ConvertibleSeniorNoteUnpaidPrincipalAmountDueToRelatedParties,10
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,10
BeneficialCorporateIncomeTaxRate,10
FinanceLeaseLiabilityPaymentsDueYearThree,10
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,10
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,10
FinanceLeaseLiabilityPaymentsDueYearTwo,10
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,10
BeneficialCorporateIncomeTaxRateForCertainEnterprises,10
RecoveryOfDirectCosts,10
CommonStockInitialPublicOfferingIssuanceCosts,10
OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,10
ProceedsFromConvertibleDebt,10
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,10
LiabilityInsurancePolicyWithAnAggregateCoverageLimit,10
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,10
OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,10
ShareBasedPaymentArrangementNonvestedAwardProbableOfAchievementCostNotYetRecognizedAmount,10
OperatingLeasesFutureMinimumPaymentsReceivable,10
NetIncomeLossAdjustedBuyOutOfNoncontrollingInterestDiluted,10
NetIncomeLossAdjustedBuyOutOfNoncontrollingInterestBasic,10
MarketCapitalizationAchieved,10
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,10
OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,10
OperatingLeasesFutureMinimumPaymentsReceivableThereafter,10
OperatingLeasesFutureMinimumPaymentsReceivableCurrent,10
OperatingLeaseLeaseIncome,9
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsOperationalMilestoneAdjustedEBIDTA,9
OperatingLeaseCost,9
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,9
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,9
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsToVestedAndExpectedToVestWeightedAverageGrantDateFairValue,9
ProceedsReceivedFromDirectorsInShareholderSettlement,9
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisedOrReleasedInPeriodWeightedAverageExercisePrice,9
PaymentsForSolarEnergySystems,9
CryptoAssetNumberOfUnits,9
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,9
StandardProductWarrantyAccrualAdditionsFromAdoptionOfNewRevenueStandard,9
AdditionalSharesClaimValue,9
AmortizationOfIntangibleAssets,9
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsExercisedOrReleasedInPeriod,9
PaymentForLegalFees,9
NumberOfIndependentDirectors,9
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsExercisedOrReleasedWeightedAverageGrantDateFairValue,9
PaymentsForRepurchaseOfWarrants,9
RevenueDueToChangesInRegulation,9
NotesPayableRelatedPartiesCurrentAndNoncurrent,9
ReductionInAutomotiveSalesRevenuesFromBuybackOptions,9
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisedOrReleasedInPeriod,9
ReductionInGrossProfitFromBuybackOptions,9
StockIssuedDuringPeriodValueEquityIncentiveAwardsNet,9
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted1,9
AccruedEnvironmentalLossContingenciesCurrent,9
AssumptionOfCappedCall,9
AcquisitionOfNoncontrollingInterestInSubsidiaries,9
PledgedAssetsSeparatelyReportedSecuritiesPledgedAsCollateralAtFairValue,9
PaymentsToAcquireBusinessesGross,9
NoncontrollingInterestIncreaseFromBusinessCombination,9
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,9
LeasedAssetOverheadAllocation,9
PaymentsForProceedsFromHedgeFinancingActivities,9
ProceedsFromCustomers,9
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHoldersThroughAcquisition,9
DilutiveSecurities,9
CapitalLeasesFutureMinimumPaymentsDueThereafter,9
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,8
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,8
AdditionalSpecifiedScopeCosts,8
IncomeTaxEffectsAllocatedDirectlyToEquityEmployeeStockOptions,8
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForIssuance,8
FiniteLivedIntangibleAssetAmortizationExpenseAfterYearFour,8
LongTermPurchaseCommitmentAmount,8
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,8
RestructuringCosts,8
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,8
CryptoAssetFairValueNoncurrent,8
AccretionAmortizationOfDiscountsAndPremiumsInvestments,8
LossContingencyDamagesSoughtShares,8
NumberOfPendingResolutions,8
PaymentsOfDebtExtinguishmentCosts,8
EffectiveIncomeTaxRateReconciliationNontaxableManufacturingCreditAmount,8
IssuanceOfCommonStockUponNetExerciseOfWarrants,8
IncomeRecognizedForChangeInFairValue,8
AdditionalRevenueResultingFromEarlyCancellationOfResaleValueGuarantee,8
AdditionalDepreciationResultingFromEarlyCancellationOfResaleValueOfGuarantee,8
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDebtAndCapitalLeasesCurrentAndNoncurrent,8
AdditionalDeferredRevenueResultingFromEarlyCancellationOfResaleValueGuarantee,8
PercentageOfProjectCostsThatLoanWillCover,8
DeferredFinanceCostsNet,8
OperatingLeasesIncomeStatementDepreciationExpenseOnPropertySubjectToOrHeldForLease,8
ReserveForLoanPrincipalRepayment,8
DeferredTaxLiabilitiesNoncurrent,8
DeferredTaxAssetsCapitalizedResearchAndDevelopmentCosts,8
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAccruedLiabilities,8
WeightedAverageSharesUsedInComputingNetLossPerShareOfCommonStockBasicAndDiluted,8
OperatingLeaseOptionToRenewAmountPerYear,8
NumberOfCustomers,8
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,7
LossContingencyDamagesSoughtDisinterestedVotingSharesInFavorPercentage,7
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,7
ProceedsFromHedgeFinancingActivities,7
RestrictedCashAndCashEquivalents,7
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,7
LineOfCreditFacilityCurrentBorrowingCapacity,7
LineOfCreditFacilityAdditionalBorrowingCapacity,7
LinesOfCreditSwingLineLoan,7
DecreaseInRestrictedCash,7
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,7
MinimumPercentageOfCapitalStockHeldByAffiliates,7
DebtInstrumentFeeAmount,7
ProceedsFromIssuanceAndConversionOfConvertiblePreferredStock,7
DeferredCreditsAndOtherLiabilitiesNoncurrent,7
PreferredStockShareIssuedAndOutstanding,7
NotionalAmountOfForeignCurrencyDerivatives,7
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,7
BusinessAcquisitionSharePrice,7
BusinessCombinationStockConversionRatio,7
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,7
PreferredStockOfLiquidationPreference,7
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,7
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsReleasedInPeriodWeightedAverageGrantDateFairValue,7
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,7
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,7
AreaOfRealEstateProperty,7
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsReleased,7
ReductionInAutomotiveCostOfSalesFromBuybackOptions,7
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,7
OperatingCashFlowRelatedToRepaymentOfDiscountedConvertibleNotes,7
RebatesReceivable,7
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,6
InterestIncomeShortTermInvestmentOther,6
CommonStockPrivatePlacementIssuanceCostsPerShare,6
ShareBasedCompensationArrangementByShareBasedPaymentAwardValueOfSharesAvailableForIssuance,6
NumberOfAdditionalIndependentDirectors,6
RepaymentsOfDebtAndCapitalLeaseObligations,6
PreferredStockSharePriceAtIssuance,6
EffectiveIncomeTaxRateReconciliationUnrecognizedTaxBenefits,6
CivilPenaltiesAmountPayable,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedThereafter,6
DeferredRevenueLeasesAccumulatedAmortization,6
DebtInstrumentFairValue,6
LitigationSettlementExpense,6
AdvertisingRevenueCost,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedNextTwelveMonths,6
TangibleAssetImpairmentCharges,6
DerivativeAssetsCurrent,6
NumberOfVehiclesProductiveLifeForTooling,6
LeaseDepositLiability,6
AssetRetirementObligationsNoncurrent,6
AccruedInterestCurrent,6
AvailableForSaleSecuritiesGrossUnrealizedGainAccumulatedInInvestments,6
AvailableForSaleSecuritiesGrossUnrealizedLossAccumulatedInInvestments,6
AccruedAdversePurchaseCommitmentsCurrent,6
FinancingReceivableRecordedInvestmentNonaccrualStatus,6
ExtendedServiceCoverageVehicleMileage,6
EffectiveIncomeTaxRateReconciliationGiltiAmount,6
PaymentsForRestructuring,6
SettlementPurchaseOfNoteHedge,6
Effectiveincometaxratereconciliationglobalintangiblelowtaxedincomeinclusion,6
SalesTypeAndDirectFinancingLeasesLeaseReceivableUndiscountedExcessAmount,6
ConvertibleLongTermAndOtherDebtNotesPayable,6
ConvertibleNotesAndOtherDebtPayableCurrent,6
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLossCurrent,6
IncentivesReceivedInCash,6
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLossNoncurrent,6
StockIssuedDuringPeriodShareBasedCompensationNetOfSharesWithheldForTaxes,6
GainLossOnDispositionOfProperty,6
DebtInstrumentAdditionalBasisSpread,6
IncreaseInDilutedNetIncomePerShareOfCommonStockAttributableToCompany,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedThreeYears,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedTwoYears,6
NumberOfCustomersRepresentingConcentrationRiskPercentage,6
GrossSolarEnergySystemUnderLeasePassThroughFundArrangementAccumulatedDepreciation,6
IncreaseInBasicNetIncomePerShareOfCommonStockAttributableToCompany,6
GrossSolarEnergySystemUnderLeasePassThroughFundArrangement,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedFiveYears,6
GainLossOnInvestments,6
PropertyPlantAndEquipmentTransfersAndChanges,6
AdditionalPayments,6
ProductWarrantyAccrualAdditionsFromBusinessAcquisition,6
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedFourYears,6
DecreaseInNetInterestExpense,6
ProceedsFromRepaymentsOfLinesOfCredit,6
BusinessCombinationSeparatelyRecognizedTransactionsNetGainsAndLosses,6
RepaymentsOfSecuredDebt,6
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,6
NumberOfOperationalMilestonesFocusedOnRevenueTargetsAndAdjustedEBITDA,5
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,5
DeferredTaxAssetsConvertibleNotes,5
InventoryAdjustments,5
DeferredTaxLiabilitiesTaxDeferredIncome,5
OperatingLeasesOfLessorContingentRentalsBasisSpreadOnVariableRate,5
AdjustmentAttributableToCurrentRateTranslationOfNonMonetaryAssets,5
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,5
SiteContingencyCostToBePaidInExcessByCompany,5
UpperThresholdThirdPartyLiability,5
DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,5
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,5
PaymentOfFinancingAndStockIssuanceCosts,5
OtherDebtIssuanceCost,5
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months,5
ConvertibleDebtNoncurrent,5
PercentageOfFurtherDiscountedOnMarketBasedPremiumForMarketQuote,5
VariableInterestEntityFinancialOrOtherSupportAmount,5
SharesIssuedInConnectionOfBusinessCombinationAndAssumedVestedAwards,5
NumberOfLeaseFinancingObligations,5
DeferredTaxAssetsPropertyPlantAndEquipment,5
NumberOfFunds,5
LowerThresholdThirdPartyLiability,5
PercentageOfEmployeesEligibleCompensationVested,5
GrantFundingAmountReceived,5
ConstructionAndDevelopmentCosts,5
MinimumLeasePaymentPercentageOfFairValue,5
NetCashProvidedByUsedInContinuingOperations,5
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,5
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,5
ExtendedProductWarrantyPeriod,5
SeveranceCosts1,5
BusinessAcquisitionProFormaWeightedAverageNumberOfShareOutstandingBasicAndDiluted,5
PercentOfCommonStockConversionTrigger,5
WriteOffOfLoanOriginationCosts,5
ExpectedCapitalInvestment,5
CommonStockInitialPublicOfferingIssuanceCostsPerShare,5
BusinessAcquisitionsProFormaRevenue,5
DerivativeNotionalAmountNet,5
BusinessAcquisitionsProFormaNetIncomeLoss,5
IncreaseDecreaseInDeferredDevelopmentCompensation,5
BusinessAcquisitionProFormaEarningsPerShareBasicAndDiluted,5
DeRecognitionOfBuildToSuitLeaseAssets,4
FairValueAdjustmentOfWarrants,4
DeferredRevenueAndCredits,4
ConcentrationRiskPercentage,4
DebtInstrumentQuarterlyPrincipalRepaymentPercentageInThirdYear,4
DeRecognitionOfBuildToSuitLeaseLiabilities,4
DebtInstrumentQuarterlyPrincipalRepaymentPercentageInNextTwelveMonths,4
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOperatingLeaseRightOfUseAssets,4
NumberOfCustomersWithMaterialNonAccrualOrPastDueNotesReceivable,4
NumberOfCustomersWithKnownDisputesOrCollectionIssues,4
BusinessCombinationContingentConsiderationArrangementsChangeInTheRangeOfOutcomesContingentConsiderationLiabilityValueHigh,4
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilitiesAndEquity,4
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredRevenueCurrent,4
DebtInstrumentQuarterlyPrincipalRepaymentPercentageInFourthAndFifthYear,4
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAdditionalPaidInCapital,4
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAccruedLiabilitiesAndOther,4
SiteContingencyLossExposureInExcessOfAccrualHighEstimate,4
IssuanceOfCommonStockUponNetExerciseOfWarrantsShares,4
FinancingReceivableRecordedInvestmentPastDue,4
CommonStockPrivatePlacementPricePerShare,4
DeferredTaxAssetsGrossAndValuationAllowanceIncreaseDecrease,4
CustomerFunds,4
MinimumTaxRate,4
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,4
